,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,WIN: 820 - 620,WIN: 1310 - 830,WIN: 1130 - 960,LOSE: 1240 - 1890,WIN: 3060 - 2440,WIN: 2790 - 2330,WIN: 780 - 340,WIN: 1390 - 640,LOSE: 1300 - 1390,WIN: 1460 - 1330,WIN: 2340 - 1770,WIN: 2170 - 1450,LOSE: 410 - 1210,WIN: 760 - 150,WIN: 1630 - 1110,LOSE: 1330 - 2780,LOSE: 2200 - 3320,LOSE: 1180 - 1330
solve1.py-second,WIN: 620 - 550,WIN: 840 - 570,LOSE: 620 - 1450,LOSE: 420 - 1670,WIN: 2210 - 1270,WIN: 3630 - 1630,WIN: 520 - 400,WIN: 1390 - 500,WIN: 1330 - 1100,WIN: 1540 - 900,WIN: 2400 - 2170,LOSE: 2110 - 2340,WIN: 620 - 320,WIN: 1090 - 80,WIN: 1120 - 1050,WIN: 1770 - 1030,WIN: 3310 - 1120,LOSE: 1230 - 2340
solve2.py-first,WIN: 2310 - 0,WIN: 2020 - 0,WIN: 2480 - 0,WIN: 1790 - 0,WIN: 2090 - 0,WIN: 2590 - 0,WIN: 1150 - 0,WIN: 1600 - 0,WIN: 1920 - 0,WIN: 2390 - 0,WIN: 2940 - 0,WIN: 3210 - 0,WIN: 960 - 0,WIN: 1210 - 0,WIN: 2030 - 0,WIN: 2110 - 0,WIN: 3670 - 0,WIN: 2050 - 0
solve2.py-second,WIN: 1060 - 0,WIN: 1560 - 0,WIN: 1750 - 0,WIN: 2110 - 0,WIN: 3290 - 0,WIN: 5300 - 0,WIN: 1020 - 0,WIN: 1660 - 0,WIN: 2630 - 0,WIN: 2180 - 0,WIN: 3560 - 0,WIN: 5040 - 0,WIN: 720 - 0,WIN: 1360 - 0,WIN: 1600 - 0,WIN: 2090 - 0,WIN: 2670 - 0,WIN: 2010 - 0
solve3.py-first,WIN: 1000 - 370,WIN: 1220 - 310,WIN: 1540 - 640,WIN: 1580 - 230,WIN: 3650 - 300,WIN: 3190 - 280,WIN: 750 - 110,WIN: 1060 - 440,WIN: 1160 - 300,WIN: 960 - 300,WIN: 2110 - 510,WIN: 1620 - 420,WIN: 680 - 240,WIN: 1210 - 220,WIN: 1690 - 300,WIN: 1860 - 840,WIN: 2820 - 1750,WIN: 1480 - 480
solve3.py-second,WIN: 1180 - 310,WIN: 950 - 340,WIN: 1870 - 480,WIN: 2210 - 630,WIN: 3130 - 1120,WIN: 3760 - 2020,WIN: 1240 - 80,WIN: 1340 - 200,WIN: 1760 - 200,WIN: 1430 - 220,WIN: 2220 - 560,WIN: 2040 - 770,WIN: 610 - 210,WIN: 1540 - 310,WIN: 1440 - 610,WIN: 2000 - 500,WIN: 3100 - 520,WIN: 1790 - 470
normalRandomWalk.py-first,WIN: 900 - 880,LOSE: 650 - 940,LOSE: 1550 - 1560,LOSE: 1650 - 2010,LOSE: 2180 - 3570,LOSE: 3170 - 3690,LOSE: 250 - 400,LOSE: 900 - 1090,LOSE: 660 - 860,LOSE: 1010 - 1070,WIN: 2100 - 1980,WIN: 1940 - 1710,LOSE: 700 - 730,LOSE: 1010 - 1060,LOSE: 1490 - 1570,WIN: 2600 - 1780,LOSE: 2860 - 3280,LOSE: 2490 - 2580
normalRandomWalk.py-second,LOSE: 880 - 900,WIN: 940 - 650,WIN: 1560 - 1550,WIN: 2010 - 1650,WIN: 3570 - 2180,WIN: 3690 - 3170,WIN: 400 - 250,WIN: 1090 - 900,WIN: 860 - 660,WIN: 1070 - 1010,LOSE: 1980 - 2100,LOSE: 1710 - 1940,WIN: 730 - 700,WIN: 1060 - 1010,WIN: 1570 - 1490,LOSE: 1780 - 2600,WIN: 3280 - 2860,WIN: 2580 - 2490
solve4.py-first,WIN: 1210 - 890,LOSE: 980 - 1650,LOSE: 1030 - 3260,LOSE: 1720 - 3410,LOSE: 2330 - 5130,LOSE: 2460 - 7840,LOSE: 710 - 1230,,,,,,,,,,,
solve4.py-second,,,,,,,,,,,,,,,,,,
solve5.py-first,,,,,,,,,,,,,,,,,,
solve5.py-second,,,,,,,,,,,,,,,,,,
