,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,,,,,,,,,,,,,,,,,,
solve1.py-second,,,,,,,,,,,,,,,,,,
solve2.py-first,,,,,,,,,,,,,,,,,,
solve2.py-second,,,,,,,,,,,,,,,,,,
solve3.py-first,,,,,,,,,,,,,,,,,,
solve3.py-second,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-first,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,LOSE: -1 - 0,,,,,,,,
solve4.py-second,WIN: 960 - 800,LOSE: 180 - 1300,WIN: 2320 - 1780,LOSE: 840 - 1820,LOSE: 2330 - 2480,WIN: 2520 - 2440,WIN: 1110 - 420,LOSE: 790 - 1130,LOSE: 1150 - 1510,WIN: 1650 - 1560,LOSE: 2070 - 2120,LOSE: 1280 - 2270,LOSE: 350 - 870,LOSE: 30 - 1220,LOSE: 1260 - 1350,LOSE: 1680 - 1820,WIN: 2800 - 2310,WIN: 1760 - 1480
solve5.py-first,,,,,,,,,,,,,,,,,,
solve5.py-second,,,,,,,,,,,,,,,,,,
